registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 19)
400/3250 (resamples: 5, noops dropped: 45)
600/3250 (resamples: 9, noops dropped: 74)
800/3250 (resamples: 12, noops dropped: 103)
1000/3250 (resamples: 13, noops dropped: 136)
1200/3250 (resamples: 20, noops dropped: 151)
1400/3250 (resamples: 21, noops dropped: 172)
1600/3250 (resamples: 25, noops dropped: 194)
1800/3250 (resamples: 28, noops dropped: 214)
2000/3250 (resamples: 32, noops dropped: 225)
2200/3250 (resamples: 34, noops dropped: 262)
2400/3250 (resamples: 41, noops dropped: 278)
2600/3250 (resamples: 44, noops dropped: 317)
2800/3250 (resamples: 45, noops dropped: 346)
3000/3250 (resamples: 48, noops dropped: 369)
3200/3250 (resamples: 53, noops dropped: 401)
wrote 3250 tasks -> data\s4_shards\crowded_1.jsonl (resamples: 54, noops dropped: 417)
