registered 143 generated domains
200/3750 (resamples: 0, noops dropped: 21)
400/3750 (resamples: 6, noops dropped: 56)
600/3750 (resamples: 10, noops dropped: 86)
800/3750 (resamples: 12, noops dropped: 122)
1000/3750 (resamples: 15, noops dropped: 165)
1200/3750 (resamples: 19, noops dropped: 207)
1400/3750 (resamples: 22, noops dropped: 222)
1600/3750 (resamples: 27, noops dropped: 243)
1800/3750 (resamples: 32, noops dropped: 264)
2000/3750 (resamples: 36, noops dropped: 298)
2200/3750 (resamples: 37, noops dropped: 328)
2400/3750 (resamples: 42, noops dropped: 352)
2600/3750 (resamples: 48, noops dropped: 372)
2800/3750 (resamples: 53, noops dropped: 403)
3000/3750 (resamples: 54, noops dropped: 428)
3200/3750 (resamples: 55, noops dropped: 447)
3400/3750 (resamples: 58, noops dropped: 480)
3600/3750 (resamples: 60, noops dropped: 510)
wrote 3750 tasks -> data\s4c_shards\plain_1.jsonl (resamples: 62, noops dropped: 530)
