registered 143 generated domains
200/3250 (resamples: 8, noops dropped: 36)
400/3250 (resamples: 10, noops dropped: 63)
600/3250 (resamples: 11, noops dropped: 94)
800/3250 (resamples: 17, noops dropped: 129)
1000/3250 (resamples: 20, noops dropped: 156)
1200/3250 (resamples: 24, noops dropped: 175)
1400/3250 (resamples: 28, noops dropped: 197)
1600/3250 (resamples: 33, noops dropped: 230)
1800/3250 (resamples: 38, noops dropped: 254)
2000/3250 (resamples: 44, noops dropped: 281)
2200/3250 (resamples: 44, noops dropped: 308)
2400/3250 (resamples: 47, noops dropped: 336)
2600/3250 (resamples: 49, noops dropped: 366)
2800/3250 (resamples: 52, noops dropped: 404)
3000/3250 (resamples: 57, noops dropped: 425)
3200/3250 (resamples: 61, noops dropped: 446)
wrote 3250 tasks -> data\s4_shards\crowded_0.jsonl (resamples: 62, noops dropped: 453)
