registered 143 generated domains
200/3750 (resamples: 6, noops dropped: 9)
400/3750 (resamples: 7, noops dropped: 21)
600/3750 (resamples: 9, noops dropped: 58)
800/3750 (resamples: 11, noops dropped: 77)
1000/3750 (resamples: 16, noops dropped: 103)
1200/3750 (resamples: 22, noops dropped: 131)
1400/3750 (resamples: 28, noops dropped: 171)
1600/3750 (resamples: 35, noops dropped: 204)
1800/3750 (resamples: 38, noops dropped: 248)
2000/3750 (resamples: 44, noops dropped: 277)
2200/3750 (resamples: 45, noops dropped: 311)
2400/3750 (resamples: 49, noops dropped: 334)
2600/3750 (resamples: 52, noops dropped: 353)
2800/3750 (resamples: 57, noops dropped: 380)
3000/3750 (resamples: 62, noops dropped: 402)
3200/3750 (resamples: 62, noops dropped: 414)
3400/3750 (resamples: 68, noops dropped: 438)
3600/3750 (resamples: 76, noops dropped: 468)
wrote 3750 tasks -> data\s4c_shards\plain_0.jsonl (resamples: 78, noops dropped: 495)
