registered 143 generated domains
200/4375 (resamples: 4, noops dropped: 43)
400/4375 (resamples: 5, noops dropped: 69)
600/4375 (resamples: 6, noops dropped: 98)
800/4375 (resamples: 12, noops dropped: 120)
1000/4375 (resamples: 15, noops dropped: 154)
1200/4375 (resamples: 18, noops dropped: 189)
1400/4375 (resamples: 22, noops dropped: 216)
1600/4375 (resamples: 24, noops dropped: 238)
1800/4375 (resamples: 28, noops dropped: 271)
2000/4375 (resamples: 29, noops dropped: 304)
2200/4375 (resamples: 31, noops dropped: 334)
2400/4375 (resamples: 32, noops dropped: 379)
2600/4375 (resamples: 32, noops dropped: 414)
2800/4375 (resamples: 33, noops dropped: 449)
3000/4375 (resamples: 37, noops dropped: 487)
3200/4375 (resamples: 39, noops dropped: 513)
3400/4375 (resamples: 42, noops dropped: 544)
3600/4375 (resamples: 45, noops dropped: 564)
3800/4375 (resamples: 47, noops dropped: 588)
4000/4375 (resamples: 49, noops dropped: 611)
4200/4375 (resamples: 53, noops dropped: 630)
wrote 4375 tasks -> data\s2_shards\plain_6.jsonl (resamples: 54, noops dropped: 650)
