registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 47)
400/3250 (resamples: 2, noops dropped: 64)
600/3250 (resamples: 3, noops dropped: 98)
800/3250 (resamples: 7, noops dropped: 119)
1000/3250 (resamples: 9, noops dropped: 142)
1200/3250 (resamples: 12, noops dropped: 167)
1400/3250 (resamples: 19, noops dropped: 188)
1600/3250 (resamples: 25, noops dropped: 221)
1800/3250 (resamples: 30, noops dropped: 240)
2000/3250 (resamples: 32, noops dropped: 265)
2200/3250 (resamples: 36, noops dropped: 286)
2400/3250 (resamples: 39, noops dropped: 321)
2600/3250 (resamples: 43, noops dropped: 344)
2800/3250 (resamples: 46, noops dropped: 366)
3000/3250 (resamples: 48, noops dropped: 375)
3200/3250 (resamples: 51, noops dropped: 402)
wrote 3250 tasks -> data\s4_shards\crowded_2.jsonl (resamples: 52, noops dropped: 409)
