registered 143 generated domains
200/3250 (resamples: 2, noops dropped: 29)
400/3250 (resamples: 6, noops dropped: 51)
600/3250 (resamples: 12, noops dropped: 81)
800/3250 (resamples: 15, noops dropped: 102)
1000/3250 (resamples: 20, noops dropped: 122)
1200/3250 (resamples: 25, noops dropped: 143)
1400/3250 (resamples: 31, noops dropped: 170)
1600/3250 (resamples: 34, noops dropped: 193)
1800/3250 (resamples: 36, noops dropped: 219)
2000/3250 (resamples: 40, noops dropped: 243)
2200/3250 (resamples: 45, noops dropped: 273)
2400/3250 (resamples: 47, noops dropped: 293)
2600/3250 (resamples: 49, noops dropped: 319)
2800/3250 (resamples: 51, noops dropped: 347)
3000/3250 (resamples: 56, noops dropped: 391)
3200/3250 (resamples: 65, noops dropped: 407)
wrote 3250 tasks -> data\s3_shards\crowded_4.jsonl (resamples: 66, noops dropped: 416)
