registered 143 generated domains
200/3250 (resamples: 5, noops dropped: 30)
400/3250 (resamples: 7, noops dropped: 63)
600/3250 (resamples: 9, noops dropped: 93)
800/3250 (resamples: 14, noops dropped: 128)
1000/3250 (resamples: 17, noops dropped: 158)
1200/3250 (resamples: 20, noops dropped: 192)
1400/3250 (resamples: 21, noops dropped: 228)
1600/3250 (resamples: 25, noops dropped: 252)
1800/3250 (resamples: 27, noops dropped: 274)
2000/3250 (resamples: 27, noops dropped: 313)
2200/3250 (resamples: 28, noops dropped: 350)
2400/3250 (resamples: 28, noops dropped: 367)
2600/3250 (resamples: 28, noops dropped: 410)
2800/3250 (resamples: 29, noops dropped: 434)
3000/3250 (resamples: 32, noops dropped: 470)
3200/3250 (resamples: 33, noops dropped: 498)
wrote 3250 tasks -> data\s3_shards\crowded_6.jsonl (resamples: 33, noops dropped: 506)
