registered 143 generated domains
200/3750 (resamples: 1, noops dropped: 24)
400/3750 (resamples: 2, noops dropped: 52)
600/3750 (resamples: 5, noops dropped: 83)
800/3750 (resamples: 8, noops dropped: 105)
1000/3750 (resamples: 12, noops dropped: 138)
1200/3750 (resamples: 15, noops dropped: 174)
1400/3750 (resamples: 17, noops dropped: 201)
1600/3750 (resamples: 25, noops dropped: 222)
1800/3750 (resamples: 29, noops dropped: 253)
2000/3750 (resamples: 31, noops dropped: 284)
2200/3750 (resamples: 38, noops dropped: 305)
2400/3750 (resamples: 41, noops dropped: 335)
2600/3750 (resamples: 43, noops dropped: 369)
2800/3750 (resamples: 45, noops dropped: 392)
3000/3750 (resamples: 48, noops dropped: 431)
3200/3750 (resamples: 48, noops dropped: 459)
3400/3750 (resamples: 51, noops dropped: 482)
3600/3750 (resamples: 54, noops dropped: 504)
wrote 3750 tasks -> data\s2_shards\crowded_0.jsonl (resamples: 56, noops dropped: 525)
