registered 143 generated domains
200/3250 (resamples: 3, noops dropped: 31)
400/3250 (resamples: 7, noops dropped: 55)
600/3250 (resamples: 8, noops dropped: 87)
800/3250 (resamples: 12, noops dropped: 111)
1000/3250 (resamples: 15, noops dropped: 135)
1200/3250 (resamples: 16, noops dropped: 168)
1400/3250 (resamples: 19, noops dropped: 199)
1600/3250 (resamples: 21, noops dropped: 218)
1800/3250 (resamples: 25, noops dropped: 244)
2000/3250 (resamples: 31, noops dropped: 285)
2200/3250 (resamples: 34, noops dropped: 317)
2400/3250 (resamples: 36, noops dropped: 350)
2600/3250 (resamples: 37, noops dropped: 377)
2800/3250 (resamples: 40, noops dropped: 413)
3000/3250 (resamples: 44, noops dropped: 443)
3200/3250 (resamples: 49, noops dropped: 463)
wrote 3250 tasks -> data\s4c_shards\crowded_5.jsonl (resamples: 50, noops dropped: 466)
