registered 143 generated domains
200/3750 (resamples: 2, noops dropped: 29)
400/3750 (resamples: 7, noops dropped: 55)
600/3750 (resamples: 11, noops dropped: 84)
800/3750 (resamples: 13, noops dropped: 115)
1000/3750 (resamples: 13, noops dropped: 139)
1200/3750 (resamples: 17, noops dropped: 175)
1400/3750 (resamples: 21, noops dropped: 193)
1600/3750 (resamples: 24, noops dropped: 212)
1800/3750 (resamples: 27, noops dropped: 234)
2000/3750 (resamples: 28, noops dropped: 255)
2200/3750 (resamples: 31, noops dropped: 287)
2400/3750 (resamples: 34, noops dropped: 306)
2600/3750 (resamples: 39, noops dropped: 328)
2800/3750 (resamples: 39, noops dropped: 344)
3000/3750 (resamples: 41, noops dropped: 377)
3200/3750 (resamples: 44, noops dropped: 403)
3400/3750 (resamples: 48, noops dropped: 440)
3600/3750 (resamples: 49, noops dropped: 464)
wrote 3750 tasks -> data\s5_shards\plain_1.jsonl (resamples: 52, noops dropped: 486)
