registered 143 generated domains
200/3750 (resamples: 1, noops dropped: 30)
400/3750 (resamples: 5, noops dropped: 57)
600/3750 (resamples: 6, noops dropped: 88)
800/3750 (resamples: 9, noops dropped: 121)
1000/3750 (resamples: 12, noops dropped: 151)
1200/3750 (resamples: 18, noops dropped: 165)
1400/3750 (resamples: 22, noops dropped: 196)
1600/3750 (resamples: 26, noops dropped: 217)
1800/3750 (resamples: 32, noops dropped: 235)
2000/3750 (resamples: 34, noops dropped: 261)
2200/3750 (resamples: 37, noops dropped: 301)
2400/3750 (resamples: 41, noops dropped: 322)
2600/3750 (resamples: 50, noops dropped: 351)
2800/3750 (resamples: 51, noops dropped: 380)
3000/3750 (resamples: 52, noops dropped: 401)
3200/3750 (resamples: 54, noops dropped: 432)
3400/3750 (resamples: 56, noops dropped: 455)
3600/3750 (resamples: 58, noops dropped: 474)
wrote 3750 tasks -> data\s2_shards\crowded_1.jsonl (resamples: 60, noops dropped: 490)
