registered 143 generated domains
200/4375 (resamples: 0, noops dropped: 29)
400/4375 (resamples: 3, noops dropped: 52)
600/4375 (resamples: 7, noops dropped: 92)
800/4375 (resamples: 9, noops dropped: 112)
1000/4375 (resamples: 10, noops dropped: 138)
1200/4375 (resamples: 12, noops dropped: 174)
1400/4375 (resamples: 14, noops dropped: 193)
1600/4375 (resamples: 18, noops dropped: 222)
1800/4375 (resamples: 21, noops dropped: 251)
2000/4375 (resamples: 22, noops dropped: 267)
2200/4375 (resamples: 23, noops dropped: 299)
2400/4375 (resamples: 26, noops dropped: 330)
2600/4375 (resamples: 26, noops dropped: 373)
2800/4375 (resamples: 30, noops dropped: 394)
3000/4375 (resamples: 34, noops dropped: 428)
3200/4375 (resamples: 37, noops dropped: 462)
3400/4375 (resamples: 37, noops dropped: 491)
3600/4375 (resamples: 39, noops dropped: 535)
3800/4375 (resamples: 44, noops dropped: 563)
4000/4375 (resamples: 47, noops dropped: 600)
4200/4375 (resamples: 49, noops dropped: 637)
wrote 4375 tasks -> data\s2_shards\plain_0.jsonl (resamples: 52, noops dropped: 671)
