registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 29)
400/3250 (resamples: 3, noops dropped: 59)
600/3250 (resamples: 6, noops dropped: 89)
800/3250 (resamples: 6, noops dropped: 142)
1000/3250 (resamples: 11, noops dropped: 166)
1200/3250 (resamples: 11, noops dropped: 191)
1400/3250 (resamples: 14, noops dropped: 213)
1600/3250 (resamples: 17, noops dropped: 239)
1800/3250 (resamples: 18, noops dropped: 256)
2000/3250 (resamples: 19, noops dropped: 288)
2200/3250 (resamples: 21, noops dropped: 312)
2400/3250 (resamples: 22, noops dropped: 349)
2600/3250 (resamples: 22, noops dropped: 379)
2800/3250 (resamples: 24, noops dropped: 406)
3000/3250 (resamples: 25, noops dropped: 435)
3200/3250 (resamples: 29, noops dropped: 459)
wrote 3250 tasks -> data\s3_shards\crowded_3.jsonl (resamples: 30, noops dropped: 466)
