registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 18)
400/3250 (resamples: 4, noops dropped: 29)
600/3250 (resamples: 6, noops dropped: 58)
800/3250 (resamples: 7, noops dropped: 87)
1000/3250 (resamples: 9, noops dropped: 120)
1200/3250 (resamples: 13, noops dropped: 161)
1400/3250 (resamples: 19, noops dropped: 177)
1600/3250 (resamples: 20, noops dropped: 207)
1800/3250 (resamples: 24, noops dropped: 237)
2000/3250 (resamples: 27, noops dropped: 267)
2200/3250 (resamples: 31, noops dropped: 277)
2400/3250 (resamples: 33, noops dropped: 298)
2600/3250 (resamples: 35, noops dropped: 319)
2800/3250 (resamples: 37, noops dropped: 344)
3000/3250 (resamples: 38, noops dropped: 371)
3200/3250 (resamples: 41, noops dropped: 394)
wrote 3250 tasks -> data\s3_shards\crowded_1.jsonl (resamples: 42, noops dropped: 394)
