registered 143 generated domains
200/3250 (resamples: 3, noops dropped: 28)
400/3250 (resamples: 7, noops dropped: 75)
600/3250 (resamples: 9, noops dropped: 111)
800/3250 (resamples: 12, noops dropped: 136)
1000/3250 (resamples: 14, noops dropped: 162)
1200/3250 (resamples: 15, noops dropped: 187)
1400/3250 (resamples: 17, noops dropped: 219)
1600/3250 (resamples: 18, noops dropped: 240)
1800/3250 (resamples: 21, noops dropped: 270)
2000/3250 (resamples: 23, noops dropped: 304)
2200/3250 (resamples: 25, noops dropped: 317)
2400/3250 (resamples: 26, noops dropped: 344)
2600/3250 (resamples: 31, noops dropped: 382)
2800/3250 (resamples: 35, noops dropped: 409)
3000/3250 (resamples: 37, noops dropped: 432)
3200/3250 (resamples: 39, noops dropped: 458)
wrote 3250 tasks -> data\s3_shards\crowded_5.jsonl (resamples: 39, noops dropped: 459)
