registered 143 generated domains
200/3250 (resamples: 5, noops dropped: 21)
400/3250 (resamples: 8, noops dropped: 36)
600/3250 (resamples: 13, noops dropped: 62)
800/3250 (resamples: 21, noops dropped: 89)
1000/3250 (resamples: 25, noops dropped: 116)
1200/3250 (resamples: 28, noops dropped: 149)
1400/3250 (resamples: 31, noops dropped: 185)
1600/3250 (resamples: 34, noops dropped: 203)
1800/3250 (resamples: 38, noops dropped: 225)
2000/3250 (resamples: 39, noops dropped: 247)
2200/3250 (resamples: 43, noops dropped: 276)
2400/3250 (resamples: 46, noops dropped: 295)
2600/3250 (resamples: 49, noops dropped: 323)
2800/3250 (resamples: 54, noops dropped: 348)
3000/3250 (resamples: 56, noops dropped: 384)
3200/3250 (resamples: 62, noops dropped: 415)
wrote 3250 tasks -> data\s5_shards\crowded_6.jsonl (resamples: 63, noops dropped: 422)
