registered 143 generated domains
200/3750 (resamples: 2, noops dropped: 25)
400/3750 (resamples: 3, noops dropped: 40)
600/3750 (resamples: 5, noops dropped: 70)
800/3750 (resamples: 10, noops dropped: 115)
1000/3750 (resamples: 14, noops dropped: 139)
1200/3750 (resamples: 21, noops dropped: 152)
1400/3750 (resamples: 25, noops dropped: 183)
1600/3750 (resamples: 27, noops dropped: 209)
1800/3750 (resamples: 30, noops dropped: 235)
2000/3750 (resamples: 32, noops dropped: 256)
2200/3750 (resamples: 35, noops dropped: 283)
2400/3750 (resamples: 35, noops dropped: 323)
2600/3750 (resamples: 36, noops dropped: 357)
2800/3750 (resamples: 38, noops dropped: 380)
3000/3750 (resamples: 43, noops dropped: 428)
3200/3750 (resamples: 46, noops dropped: 462)
3400/3750 (resamples: 49, noops dropped: 493)
3600/3750 (resamples: 50, noops dropped: 529)
wrote 3750 tasks -> data\s3_shards\plain_0.jsonl (resamples: 51, noops dropped: 539)
