registered 143 generated domains
200/3750 (resamples: 4, noops dropped: 22)
400/3750 (resamples: 9, noops dropped: 44)
600/3750 (resamples: 10, noops dropped: 65)
800/3750 (resamples: 15, noops dropped: 96)
1000/3750 (resamples: 19, noops dropped: 116)
1200/3750 (resamples: 21, noops dropped: 156)
1400/3750 (resamples: 30, noops dropped: 183)
1600/3750 (resamples: 30, noops dropped: 202)
1800/3750 (resamples: 32, noops dropped: 228)
2000/3750 (resamples: 38, noops dropped: 248)
2200/3750 (resamples: 41, noops dropped: 280)
2400/3750 (resamples: 44, noops dropped: 303)
2600/3750 (resamples: 48, noops dropped: 335)
2800/3750 (resamples: 50, noops dropped: 383)
3000/3750 (resamples: 53, noops dropped: 407)
3200/3750 (resamples: 55, noops dropped: 443)
3400/3750 (resamples: 58, noops dropped: 462)
3600/3750 (resamples: 60, noops dropped: 505)
wrote 3750 tasks -> data\s4_shards\plain_5.jsonl (resamples: 64, noops dropped: 528)
