registered 143 generated domains
200/3750 (resamples: 4, noops dropped: 26)
400/3750 (resamples: 9, noops dropped: 52)
600/3750 (resamples: 11, noops dropped: 77)
800/3750 (resamples: 20, noops dropped: 92)
1000/3750 (resamples: 22, noops dropped: 113)
1200/3750 (resamples: 25, noops dropped: 135)
1400/3750 (resamples: 27, noops dropped: 163)
1600/3750 (resamples: 31, noops dropped: 185)
1800/3750 (resamples: 31, noops dropped: 209)
2000/3750 (resamples: 38, noops dropped: 243)
2200/3750 (resamples: 40, noops dropped: 270)
2400/3750 (resamples: 43, noops dropped: 306)
2600/3750 (resamples: 48, noops dropped: 336)
2800/3750 (resamples: 52, noops dropped: 375)
3000/3750 (resamples: 55, noops dropped: 398)
3200/3750 (resamples: 58, noops dropped: 427)
3400/3750 (resamples: 60, noops dropped: 457)
3600/3750 (resamples: 62, noops dropped: 478)
wrote 3750 tasks -> data\s5_shards\plain_7.jsonl (resamples: 64, noops dropped: 487)
