registered 143 generated domains
200/3250 (resamples: 2, noops dropped: 21)
400/3250 (resamples: 5, noops dropped: 39)
600/3250 (resamples: 9, noops dropped: 70)
800/3250 (resamples: 12, noops dropped: 102)
1000/3250 (resamples: 15, noops dropped: 123)
1200/3250 (resamples: 18, noops dropped: 145)
1400/3250 (resamples: 20, noops dropped: 159)
1600/3250 (resamples: 23, noops dropped: 180)
1800/3250 (resamples: 26, noops dropped: 220)
2000/3250 (resamples: 31, noops dropped: 252)
2200/3250 (resamples: 33, noops dropped: 279)
2400/3250 (resamples: 37, noops dropped: 310)
2600/3250 (resamples: 40, noops dropped: 341)
2800/3250 (resamples: 47, noops dropped: 361)
3000/3250 (resamples: 49, noops dropped: 386)
3200/3250 (resamples: 54, noops dropped: 412)
wrote 3250 tasks -> data\s3_shards\crowded_7.jsonl (resamples: 54, noops dropped: 414)
