registered 143 generated domains
200/3750 (resamples: 2, noops dropped: 19)
400/3750 (resamples: 5, noops dropped: 50)
600/3750 (resamples: 8, noops dropped: 77)
800/3750 (resamples: 14, noops dropped: 112)
1000/3750 (resamples: 17, noops dropped: 140)
1200/3750 (resamples: 19, noops dropped: 169)
1400/3750 (resamples: 22, noops dropped: 191)
1600/3750 (resamples: 25, noops dropped: 215)
1800/3750 (resamples: 28, noops dropped: 249)
2000/3750 (resamples: 28, noops dropped: 280)
2200/3750 (resamples: 29, noops dropped: 306)
2400/3750 (resamples: 32, noops dropped: 326)
2600/3750 (resamples: 33, noops dropped: 343)
2800/3750 (resamples: 37, noops dropped: 370)
3000/3750 (resamples: 40, noops dropped: 401)
3200/3750 (resamples: 43, noops dropped: 420)
3400/3750 (resamples: 46, noops dropped: 461)
3600/3750 (resamples: 47, noops dropped: 499)
wrote 3750 tasks -> data\s2_shards\crowded_3.jsonl (resamples: 50, noops dropped: 526)
