registered 143 generated domains
200/3750 (resamples: 1, noops dropped: 37)
400/3750 (resamples: 3, noops dropped: 71)
600/3750 (resamples: 6, noops dropped: 94)
800/3750 (resamples: 9, noops dropped: 109)
1000/3750 (resamples: 13, noops dropped: 131)
1200/3750 (resamples: 17, noops dropped: 167)
1400/3750 (resamples: 19, noops dropped: 194)
1600/3750 (resamples: 27, noops dropped: 230)
1800/3750 (resamples: 28, noops dropped: 256)
2000/3750 (resamples: 31, noops dropped: 298)
2200/3750 (resamples: 34, noops dropped: 330)
2400/3750 (resamples: 37, noops dropped: 352)
2600/3750 (resamples: 38, noops dropped: 386)
2800/3750 (resamples: 44, noops dropped: 427)
3000/3750 (resamples: 53, noops dropped: 447)
3200/3750 (resamples: 57, noops dropped: 496)
3400/3750 (resamples: 63, noops dropped: 522)
3600/3750 (resamples: 65, noops dropped: 545)
wrote 3750 tasks -> data\s2_shards\crowded_2.jsonl (resamples: 66, noops dropped: 571)
