registered 143 generated domains
200/3250 (resamples: 2, noops dropped: 33)
400/3250 (resamples: 2, noops dropped: 55)
600/3250 (resamples: 8, noops dropped: 80)
800/3250 (resamples: 12, noops dropped: 110)
1000/3250 (resamples: 19, noops dropped: 146)
1200/3250 (resamples: 22, noops dropped: 163)
1400/3250 (resamples: 23, noops dropped: 192)
1600/3250 (resamples: 28, noops dropped: 221)
1800/3250 (resamples: 35, noops dropped: 243)
2000/3250 (resamples: 39, noops dropped: 273)
2200/3250 (resamples: 41, noops dropped: 306)
2400/3250 (resamples: 45, noops dropped: 346)
2600/3250 (resamples: 47, noops dropped: 360)
2800/3250 (resamples: 49, noops dropped: 388)
3000/3250 (resamples: 53, noops dropped: 414)
3200/3250 (resamples: 54, noops dropped: 443)
wrote 3250 tasks -> data\s3_shards\crowded_0.jsonl (resamples: 55, noops dropped: 448)
