registered 143 generated domains
200/3250 (resamples: 5, noops dropped: 23)
400/3250 (resamples: 6, noops dropped: 42)
600/3250 (resamples: 9, noops dropped: 60)
800/3250 (resamples: 12, noops dropped: 96)
1000/3250 (resamples: 15, noops dropped: 116)
1200/3250 (resamples: 15, noops dropped: 126)
1400/3250 (resamples: 17, noops dropped: 160)
1600/3250 (resamples: 23, noops dropped: 196)
1800/3250 (resamples: 29, noops dropped: 221)
2000/3250 (resamples: 31, noops dropped: 245)
2200/3250 (resamples: 34, noops dropped: 282)
2400/3250 (resamples: 38, noops dropped: 293)
2600/3250 (resamples: 38, noops dropped: 318)
2800/3250 (resamples: 40, noops dropped: 352)
3000/3250 (resamples: 42, noops dropped: 385)
3200/3250 (resamples: 45, noops dropped: 404)
wrote 3250 tasks -> data\s5_shards\crowded_3.jsonl (resamples: 48, noops dropped: 409)
