registered 143 generated domains
200/3250 (resamples: 3, noops dropped: 35)
400/3250 (resamples: 7, noops dropped: 67)
600/3250 (resamples: 10, noops dropped: 102)
800/3250 (resamples: 15, noops dropped: 125)
1000/3250 (resamples: 18, noops dropped: 135)
1200/3250 (resamples: 23, noops dropped: 163)
1400/3250 (resamples: 26, noops dropped: 189)
1600/3250 (resamples: 30, noops dropped: 220)
1800/3250 (resamples: 32, noops dropped: 243)
2000/3250 (resamples: 35, noops dropped: 280)
2200/3250 (resamples: 42, noops dropped: 322)
2400/3250 (resamples: 47, noops dropped: 348)
2600/3250 (resamples: 50, noops dropped: 374)
2800/3250 (resamples: 56, noops dropped: 393)
3000/3250 (resamples: 58, noops dropped: 421)
3200/3250 (resamples: 64, noops dropped: 442)
wrote 3250 tasks -> data\s4_shards\crowded_4.jsonl (resamples: 66, noops dropped: 446)
