registered 143 generated domains
200/3250 (resamples: 7, noops dropped: 27)
400/3250 (resamples: 9, noops dropped: 50)
600/3250 (resamples: 11, noops dropped: 92)
800/3250 (resamples: 13, noops dropped: 126)
1000/3250 (resamples: 17, noops dropped: 155)
1200/3250 (resamples: 22, noops dropped: 185)
1400/3250 (resamples: 27, noops dropped: 210)
1600/3250 (resamples: 29, noops dropped: 232)
1800/3250 (resamples: 31, noops dropped: 245)
2000/3250 (resamples: 33, noops dropped: 273)
2200/3250 (resamples: 36, noops dropped: 301)
2400/3250 (resamples: 40, noops dropped: 324)
2600/3250 (resamples: 41, noops dropped: 342)
2800/3250 (resamples: 45, noops dropped: 370)
3000/3250 (resamples: 48, noops dropped: 401)
3200/3250 (resamples: 54, noops dropped: 426)
wrote 3250 tasks -> data\s5_shards\crowded_2.jsonl (resamples: 55, noops dropped: 430)
