registered 143 generated domains
200/3250 (resamples: 5, noops dropped: 26)
400/3250 (resamples: 9, noops dropped: 54)
600/3250 (resamples: 12, noops dropped: 80)
800/3250 (resamples: 16, noops dropped: 106)
1000/3250 (resamples: 18, noops dropped: 125)
1200/3250 (resamples: 21, noops dropped: 139)
1400/3250 (resamples: 28, noops dropped: 167)
1600/3250 (resamples: 32, noops dropped: 180)
1800/3250 (resamples: 34, noops dropped: 203)
2000/3250 (resamples: 38, noops dropped: 241)
2200/3250 (resamples: 41, noops dropped: 270)
2400/3250 (resamples: 42, noops dropped: 292)
2600/3250 (resamples: 46, noops dropped: 312)
2800/3250 (resamples: 51, noops dropped: 332)
3000/3250 (resamples: 54, noops dropped: 359)
3200/3250 (resamples: 56, noops dropped: 387)
wrote 3250 tasks -> data\s5_shards\crowded_5.jsonl (resamples: 56, noops dropped: 401)
