registered 143 generated domains
200/3750 (resamples: 2, noops dropped: 43)
400/3750 (resamples: 6, noops dropped: 70)
600/3750 (resamples: 9, noops dropped: 99)
800/3750 (resamples: 13, noops dropped: 121)
1000/3750 (resamples: 17, noops dropped: 151)
1200/3750 (resamples: 20, noops dropped: 185)
1400/3750 (resamples: 24, noops dropped: 209)
1600/3750 (resamples: 26, noops dropped: 237)
1800/3750 (resamples: 36, noops dropped: 256)
2000/3750 (resamples: 38, noops dropped: 283)
2200/3750 (resamples: 38, noops dropped: 302)
2400/3750 (resamples: 41, noops dropped: 328)
2600/3750 (resamples: 44, noops dropped: 360)
2800/3750 (resamples: 46, noops dropped: 378)
3000/3750 (resamples: 47, noops dropped: 408)
3200/3750 (resamples: 49, noops dropped: 428)
3400/3750 (resamples: 51, noops dropped: 454)
3600/3750 (resamples: 51, noops dropped: 469)
wrote 3750 tasks -> data\s4_shards\plain_3.jsonl (resamples: 56, noops dropped: 488)
