registered 143 generated domains
200/3750 (resamples: 4, noops dropped: 24)
400/3750 (resamples: 11, noops dropped: 61)
600/3750 (resamples: 13, noops dropped: 88)
800/3750 (resamples: 15, noops dropped: 116)
1000/3750 (resamples: 15, noops dropped: 152)
1200/3750 (resamples: 16, noops dropped: 192)
1400/3750 (resamples: 19, noops dropped: 220)
1600/3750 (resamples: 20, noops dropped: 239)
1800/3750 (resamples: 20, noops dropped: 280)
2000/3750 (resamples: 23, noops dropped: 304)
2200/3750 (resamples: 23, noops dropped: 326)
2400/3750 (resamples: 24, noops dropped: 351)
2600/3750 (resamples: 26, noops dropped: 386)
2800/3750 (resamples: 30, noops dropped: 408)
3000/3750 (resamples: 34, noops dropped: 431)
3200/3750 (resamples: 36, noops dropped: 466)
3400/3750 (resamples: 37, noops dropped: 502)
3600/3750 (resamples: 40, noops dropped: 523)
wrote 3750 tasks -> data\s3_shards\plain_5.jsonl (resamples: 42, noops dropped: 541)
