registered 143 generated domains
200/3250 (resamples: 3, noops dropped: 32)
400/3250 (resamples: 5, noops dropped: 58)
600/3250 (resamples: 11, noops dropped: 83)
800/3250 (resamples: 13, noops dropped: 95)
1000/3250 (resamples: 15, noops dropped: 129)
1200/3250 (resamples: 19, noops dropped: 170)
1400/3250 (resamples: 26, noops dropped: 189)
1600/3250 (resamples: 31, noops dropped: 215)
1800/3250 (resamples: 31, noops dropped: 239)
2000/3250 (resamples: 33, noops dropped: 267)
2200/3250 (resamples: 35, noops dropped: 300)
2400/3250 (resamples: 41, noops dropped: 328)
2600/3250 (resamples: 46, noops dropped: 347)
2800/3250 (resamples: 52, noops dropped: 367)
3000/3250 (resamples: 54, noops dropped: 408)
3200/3250 (resamples: 59, noops dropped: 430)
wrote 3250 tasks -> data\s4_shards\crowded_7.jsonl (resamples: 59, noops dropped: 440)
