registered 143 generated domains
200/3750 (resamples: 3, noops dropped: 39)
400/3750 (resamples: 8, noops dropped: 56)
600/3750 (resamples: 8, noops dropped: 78)
800/3750 (resamples: 11, noops dropped: 99)
1000/3750 (resamples: 13, noops dropped: 129)
1200/3750 (resamples: 14, noops dropped: 164)
1400/3750 (resamples: 24, noops dropped: 191)
1600/3750 (resamples: 28, noops dropped: 208)
1800/3750 (resamples: 31, noops dropped: 233)
2000/3750 (resamples: 37, noops dropped: 246)
2200/3750 (resamples: 44, noops dropped: 274)
2400/3750 (resamples: 49, noops dropped: 308)
2600/3750 (resamples: 52, noops dropped: 340)
2800/3750 (resamples: 54, noops dropped: 352)
3000/3750 (resamples: 57, noops dropped: 380)
3200/3750 (resamples: 60, noops dropped: 401)
3400/3750 (resamples: 63, noops dropped: 427)
3600/3750 (resamples: 63, noops dropped: 456)
wrote 3750 tasks -> data\s5_shards\plain_5.jsonl (resamples: 68, noops dropped: 470)
