registered 143 generated domains
200/3750 (resamples: 2, noops dropped: 29)
400/3750 (resamples: 7, noops dropped: 59)
600/3750 (resamples: 8, noops dropped: 85)
800/3750 (resamples: 14, noops dropped: 105)
1000/3750 (resamples: 17, noops dropped: 134)
1200/3750 (resamples: 19, noops dropped: 157)
1400/3750 (resamples: 23, noops dropped: 177)
1600/3750 (resamples: 25, noops dropped: 197)
1800/3750 (resamples: 29, noops dropped: 217)
2000/3750 (resamples: 30, noops dropped: 239)
2200/3750 (resamples: 33, noops dropped: 253)
2400/3750 (resamples: 36, noops dropped: 294)
2600/3750 (resamples: 40, noops dropped: 334)
2800/3750 (resamples: 40, noops dropped: 361)
3000/3750 (resamples: 44, noops dropped: 382)
3200/3750 (resamples: 45, noops dropped: 416)
3400/3750 (resamples: 48, noops dropped: 442)
3600/3750 (resamples: 52, noops dropped: 465)
wrote 3750 tasks -> data\s5_shards\plain_3.jsonl (resamples: 55, noops dropped: 486)
