registered 143 generated domains
200/3250 (resamples: 2, noops dropped: 31)
400/3250 (resamples: 4, noops dropped: 75)
600/3250 (resamples: 11, noops dropped: 103)
800/3250 (resamples: 13, noops dropped: 127)
1000/3250 (resamples: 16, noops dropped: 151)
1200/3250 (resamples: 21, noops dropped: 175)
1400/3250 (resamples: 25, noops dropped: 199)
1600/3250 (resamples: 28, noops dropped: 223)
1800/3250 (resamples: 29, noops dropped: 255)
2000/3250 (resamples: 30, noops dropped: 284)
2200/3250 (resamples: 33, noops dropped: 314)
2400/3250 (resamples: 36, noops dropped: 338)
2600/3250 (resamples: 39, noops dropped: 360)
2800/3250 (resamples: 44, noops dropped: 398)
3000/3250 (resamples: 47, noops dropped: 415)
3200/3250 (resamples: 51, noops dropped: 434)
wrote 3250 tasks -> data\s5_shards\crowded_4.jsonl (resamples: 52, noops dropped: 436)
