registered 143 generated domains
200/3750 (resamples: 6, noops dropped: 32)
400/3750 (resamples: 9, noops dropped: 58)
600/3750 (resamples: 10, noops dropped: 95)
800/3750 (resamples: 15, noops dropped: 118)
1000/3750 (resamples: 16, noops dropped: 147)
1200/3750 (resamples: 19, noops dropped: 172)
1400/3750 (resamples: 22, noops dropped: 204)
1600/3750 (resamples: 23, noops dropped: 240)
1800/3750 (resamples: 25, noops dropped: 270)
2000/3750 (resamples: 27, noops dropped: 301)
2200/3750 (resamples: 29, noops dropped: 330)
2400/3750 (resamples: 33, noops dropped: 364)
2600/3750 (resamples: 35, noops dropped: 386)
2800/3750 (resamples: 38, noops dropped: 401)
3000/3750 (resamples: 39, noops dropped: 426)
3200/3750 (resamples: 43, noops dropped: 451)
3400/3750 (resamples: 48, noops dropped: 476)
3600/3750 (resamples: 49, noops dropped: 504)
wrote 3750 tasks -> data\s4c_shards\plain_6.jsonl (resamples: 52, noops dropped: 527)
