registered 143 generated domains
200/3750 (resamples: 4, noops dropped: 39)
400/3750 (resamples: 7, noops dropped: 53)
600/3750 (resamples: 10, noops dropped: 66)
800/3750 (resamples: 14, noops dropped: 89)
1000/3750 (resamples: 17, noops dropped: 118)
1200/3750 (resamples: 18, noops dropped: 138)
1400/3750 (resamples: 23, noops dropped: 149)
1600/3750 (resamples: 27, noops dropped: 172)
1800/3750 (resamples: 30, noops dropped: 202)
2000/3750 (resamples: 34, noops dropped: 218)
2200/3750 (resamples: 37, noops dropped: 256)
2400/3750 (resamples: 40, noops dropped: 281)
2600/3750 (resamples: 44, noops dropped: 306)
2800/3750 (resamples: 47, noops dropped: 343)
3000/3750 (resamples: 51, noops dropped: 370)
3200/3750 (resamples: 54, noops dropped: 383)
3400/3750 (resamples: 58, noops dropped: 404)
3600/3750 (resamples: 64, noops dropped: 431)
wrote 3750 tasks -> data\s5_shards\plain_6.jsonl (resamples: 69, noops dropped: 459)
