registered 143 generated domains
200/3250 (resamples: 2, noops dropped: 33)
400/3250 (resamples: 7, noops dropped: 68)
600/3250 (resamples: 9, noops dropped: 91)
800/3250 (resamples: 13, noops dropped: 122)
1000/3250 (resamples: 14, noops dropped: 147)
1200/3250 (resamples: 14, noops dropped: 172)
1400/3250 (resamples: 19, noops dropped: 205)
1600/3250 (resamples: 21, noops dropped: 241)
1800/3250 (resamples: 24, noops dropped: 258)
2000/3250 (resamples: 28, noops dropped: 275)
2200/3250 (resamples: 32, noops dropped: 296)
2400/3250 (resamples: 36, noops dropped: 320)
2600/3250 (resamples: 38, noops dropped: 346)
2800/3250 (resamples: 40, noops dropped: 375)
3000/3250 (resamples: 41, noops dropped: 406)
3200/3250 (resamples: 43, noops dropped: 435)
wrote 3250 tasks -> data\s4c_shards\crowded_3.jsonl (resamples: 43, noops dropped: 439)
