registered 143 generated domains
200/3250 (resamples: 7, noops dropped: 28)
400/3250 (resamples: 10, noops dropped: 50)
600/3250 (resamples: 13, noops dropped: 69)
800/3250 (resamples: 14, noops dropped: 94)
1000/3250 (resamples: 14, noops dropped: 125)
1200/3250 (resamples: 16, noops dropped: 148)
1400/3250 (resamples: 22, noops dropped: 160)
1600/3250 (resamples: 26, noops dropped: 195)
1800/3250 (resamples: 30, noops dropped: 219)
2000/3250 (resamples: 31, noops dropped: 243)
2200/3250 (resamples: 32, noops dropped: 261)
2400/3250 (resamples: 34, noops dropped: 277)
2600/3250 (resamples: 40, noops dropped: 299)
2800/3250 (resamples: 44, noops dropped: 323)
3000/3250 (resamples: 45, noops dropped: 355)
3200/3250 (resamples: 48, noops dropped: 395)
wrote 3250 tasks -> data\s5_shards\crowded_1.jsonl (resamples: 49, noops dropped: 404)
