registered 143 generated domains
200/3750 (resamples: 0, noops dropped: 26)
400/3750 (resamples: 3, noops dropped: 55)
600/3750 (resamples: 7, noops dropped: 88)
800/3750 (resamples: 14, noops dropped: 112)
1000/3750 (resamples: 18, noops dropped: 136)
1200/3750 (resamples: 20, noops dropped: 160)
1400/3750 (resamples: 29, noops dropped: 189)
1600/3750 (resamples: 33, noops dropped: 219)
1800/3750 (resamples: 35, noops dropped: 248)
2000/3750 (resamples: 39, noops dropped: 282)
2200/3750 (resamples: 42, noops dropped: 309)
2400/3750 (resamples: 49, noops dropped: 334)
2600/3750 (resamples: 55, noops dropped: 352)
2800/3750 (resamples: 57, noops dropped: 372)
3000/3750 (resamples: 60, noops dropped: 398)
3200/3750 (resamples: 63, noops dropped: 435)
3400/3750 (resamples: 69, noops dropped: 460)
3600/3750 (resamples: 73, noops dropped: 482)
wrote 3750 tasks -> data\s4c_shards\plain_2.jsonl (resamples: 74, noops dropped: 510)
