registered 143 generated domains
200/4375 (resamples: 8, noops dropped: 38)
400/4375 (resamples: 13, noops dropped: 62)
600/4375 (resamples: 16, noops dropped: 87)
800/4375 (resamples: 17, noops dropped: 114)
1000/4375 (resamples: 21, noops dropped: 141)
1200/4375 (resamples: 24, noops dropped: 169)
1400/4375 (resamples: 28, noops dropped: 197)
1600/4375 (resamples: 32, noops dropped: 213)
1800/4375 (resamples: 34, noops dropped: 249)
2000/4375 (resamples: 36, noops dropped: 282)
2200/4375 (resamples: 42, noops dropped: 300)
2400/4375 (resamples: 45, noops dropped: 337)
2600/4375 (resamples: 45, noops dropped: 371)
2800/4375 (resamples: 45, noops dropped: 407)
3000/4375 (resamples: 49, noops dropped: 448)
3200/4375 (resamples: 53, noops dropped: 465)
3400/4375 (resamples: 56, noops dropped: 498)
3600/4375 (resamples: 60, noops dropped: 522)
3800/4375 (resamples: 61, noops dropped: 551)
4000/4375 (resamples: 65, noops dropped: 576)
4200/4375 (resamples: 68, noops dropped: 604)
wrote 4375 tasks -> data\s2_shards\plain_5.jsonl (resamples: 70, noops dropped: 633)
