registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 39)
400/3250 (resamples: 3, noops dropped: 53)
600/3250 (resamples: 6, noops dropped: 85)
800/3250 (resamples: 12, noops dropped: 102)
1000/3250 (resamples: 14, noops dropped: 124)
1200/3250 (resamples: 16, noops dropped: 148)
1400/3250 (resamples: 19, noops dropped: 178)
1600/3250 (resamples: 21, noops dropped: 194)
1800/3250 (resamples: 21, noops dropped: 221)
2000/3250 (resamples: 26, noops dropped: 252)
2200/3250 (resamples: 26, noops dropped: 278)
2400/3250 (resamples: 28, noops dropped: 304)
2600/3250 (resamples: 32, noops dropped: 331)
2800/3250 (resamples: 39, noops dropped: 363)
3000/3250 (resamples: 41, noops dropped: 390)
3200/3250 (resamples: 45, noops dropped: 411)
wrote 3250 tasks -> data\s3_shards\crowded_2.jsonl (resamples: 45, noops dropped: 415)
