registered 143 generated domains
200/3750 (resamples: 4, noops dropped: 38)
400/3750 (resamples: 6, noops dropped: 58)
600/3750 (resamples: 11, noops dropped: 86)
800/3750 (resamples: 18, noops dropped: 107)
1000/3750 (resamples: 21, noops dropped: 141)
1200/3750 (resamples: 29, noops dropped: 167)
1400/3750 (resamples: 32, noops dropped: 195)
1600/3750 (resamples: 36, noops dropped: 217)
1800/3750 (resamples: 39, noops dropped: 239)
2000/3750 (resamples: 39, noops dropped: 261)
2200/3750 (resamples: 40, noops dropped: 293)
2400/3750 (resamples: 43, noops dropped: 306)
2600/3750 (resamples: 46, noops dropped: 329)
2800/3750 (resamples: 52, noops dropped: 349)
3000/3750 (resamples: 58, noops dropped: 384)
3200/3750 (resamples: 59, noops dropped: 413)
3400/3750 (resamples: 63, noops dropped: 431)
3600/3750 (resamples: 64, noops dropped: 460)
wrote 3750 tasks -> data\s5_shards\plain_0.jsonl (resamples: 68, noops dropped: 475)
