registered 143 generated domains
200/3750 (resamples: 1, noops dropped: 33)
400/3750 (resamples: 1, noops dropped: 67)
600/3750 (resamples: 5, noops dropped: 106)
800/3750 (resamples: 7, noops dropped: 132)
1000/3750 (resamples: 10, noops dropped: 161)
1200/3750 (resamples: 13, noops dropped: 202)
1400/3750 (resamples: 18, noops dropped: 226)
1600/3750 (resamples: 19, noops dropped: 259)
1800/3750 (resamples: 21, noops dropped: 281)
2000/3750 (resamples: 25, noops dropped: 307)
2200/3750 (resamples: 27, noops dropped: 342)
2400/3750 (resamples: 29, noops dropped: 375)
2600/3750 (resamples: 32, noops dropped: 403)
2800/3750 (resamples: 37, noops dropped: 436)
3000/3750 (resamples: 41, noops dropped: 459)
3200/3750 (resamples: 47, noops dropped: 485)
3400/3750 (resamples: 52, noops dropped: 518)
3600/3750 (resamples: 55, noops dropped: 538)
wrote 3750 tasks -> data\s3_shards\plain_2.jsonl (resamples: 57, noops dropped: 553)
