registered 143 generated domains
200/3250 (resamples: 1, noops dropped: 31)
400/3250 (resamples: 2, noops dropped: 61)
600/3250 (resamples: 5, noops dropped: 88)
800/3250 (resamples: 7, noops dropped: 123)
1000/3250 (resamples: 10, noops dropped: 152)
1200/3250 (resamples: 10, noops dropped: 184)
1400/3250 (resamples: 12, noops dropped: 214)
1600/3250 (resamples: 14, noops dropped: 234)
1800/3250 (resamples: 15, noops dropped: 262)
2000/3250 (resamples: 22, noops dropped: 293)
2200/3250 (resamples: 27, noops dropped: 310)
2400/3250 (resamples: 30, noops dropped: 329)
2600/3250 (resamples: 33, noops dropped: 349)
2800/3250 (resamples: 37, noops dropped: 366)
3000/3250 (resamples: 40, noops dropped: 376)
3200/3250 (resamples: 45, noops dropped: 402)
wrote 3250 tasks -> data\s5_shards\crowded_7.jsonl (resamples: 45, noops dropped: 410)
